SEX,AGE,BODYWEIGHT,SQUAT,BENCH,DEADLIFT,TIER
1,45.0,137.6,327.5,205.0,285.0,Advanced
0,42.5,47.5,167.8,95.2,161.0,Elite
1,17.5,78.4,135.0,80.0,150.0,Novice
1,37.0,88.4,142.5,92.5,162.5,Novice
0,14.5,71.5,70.0,40.0,95.0,Novice
1,27.0,72.6,120.2,115.7,192.8,Intermediate
1,40.0,95.7,275.0,170.0,275.0,Advanced
1,64.0,102.8,207.5,92.5,220.0,Intermediate
1,28.0,128.0,325.0,220.0,355.0,Elite
0,46.0,74.7,65.0,52.5,87.5,Beginner
1,25.0,88.8,205.0,125.0,225.0,Intermediate
0,25.5,74.4,195.0,125.0,207.5,Elite
1,22.5,64.9,162.5,122.5,205.0,Intermediate
1,26.0,98.5,332.5,207.5,327.5,Elite
0,32.0,94.2,65.0,52.5,82.5,Beginner
1,31.5,124.8,399.2,274.4,326.6,Elite
1,41.0,89.0,360.0,250.0,290.0,Elite
1,18.5,91.8,175.0,105.0,232.5,Intermediate
0,17.5,85.8,90.0,55.0,132.5,Novice
0,52.0,72.8,57.5,47.5,80.0,Beginner
1,31.0,96.1,247.5,187.5,260.0,Advanced
1,43.0,162.5,325.0,242.5,342.5,Advanced
1,47.0,135.3,330.0,170.0,305.0,Advanced
1,22.0,96.0,290.0,195.0,420.5,Elite
1,27.5,104.3,325.0,207.5,305.0,Elite
1,29.0,104.6,147.5,120.0,207.5,Novice
1,37.0,108.7,365.0,305.0,285.0,Elite
1,57.5,57.7,220.0,175.0,210.0,Elite
1,28.0,99.2,337.5,207.5,320.0,Elite
0,43.5,66.4,212.5,140.0,200.0,Elite
1,27.5,102.9,307.5,175.0,340.0,Advanced
1,29.0,111.7,192.5,140.0,227.5,Intermediate
0,37.5,51.0,162.5,100.0,160.0,Elite
1,32.0,91.0,227.5,227.5,232.5,Advanced
1,62.0,73.9,92.5,60.0,125.0,Beginner
0,21.0,59.3,92.5,50.0,120.0,Novice
1,23.0,72.8,142.5,82.5,132.5,Novice
0,14.0,40.7,68.0,36.3,90.7,Novice
1,25.5,80.2,205.0,140.0,250.0,Advanced
1,20.5,88.9,80.0,72.5,130.0,Beginner
1,42.0,99.9,419.6,260.8,294.8,Elite
1,16.5,65.4,137.5,67.5,135.0,Novice
0,21.5,78.1,202.5,120.0,222.5,Elite
0,25.0,83.6,112.5,80.0,147.5,Intermediate
1,24.5,97.3,272.5,140.0,260.0,Advanced
0,26.0,61.7,100.0,55.0,112.5,Novice
0,23.5,98.0,110.0,52.5,142.5,Novice
1,55.5,85.4,145.0,97.5,175.0,Novice
1,28.5,56.3,135.0,95.0,155.0,Intermediate
1,25.5,73.7,220.0,165.0,267.5,Advanced
1,21.0,89.6,192.5,117.5,215.0,Intermediate
0,48.0,86.6,137.5,60.0,137.5,Novice
1,33.0,67.2,230.0,137.5,240.5,Advanced
0,28.5,71.5,192.5,155.0,210.0,Elite
0,47.5,94.8,110.0,72.5,127.5,Novice
1,37.5,81.1,185.0,117.5,210.0,Intermediate
0,50.0,84.5,62.5,37.5,115.0,Beginner
0,48.0,65.7,92.5,57.5,125.0,Novice
0,33.5,62.7,87.5,45.0,107.5,Novice
1,28.0,99.6,260.0,202.5,290.0,Advanced
1,25.0,89.4,207.5,130.0,225.0,Intermediate
0,25.0,81.8,90.0,42.5,107.5,Novice
0,23.0,69.8,102.5,60.0,125.0,Novice
1,74.0,70.7,70.0,50.0,110.0,Beginner
1,28.0,88.9,222.3,129.3,247.2,Intermediate
1,22.5,103.8,152.5,102.5,192.5,Novice
0,65.5,92.5,100.5,65.0,120.0,Novice
1,25.5,72.2,235.0,157.5,270.0,Advanced
1,20.5,102.1,345.0,242.5,280.0,Elite
1,70.0,88.0,40.0,150.0,65.0,Beginner
1,15.0,82.5,102.1,83.9,122.5,Novice
1,45.0,89.7,205.0,147.5,217.5,Intermediate
1,44.5,97.9,226.8,136.1,204.1,Intermediate
1,17.5,66.0,20.4,127.0,20.4,Beginner
1,36.5,72.6,170.1,140.6,172.4,Intermediate
1,30.5,102.3,337.5,197.5,312.5,Elite
0,28.5,67.6,120.0,72.5,162.5,Intermediate
0,34.5,55.4,67.5,35.0,95.0,Novice
0,25.0,64.3,77.5,47.5,117.5,Novice
1,46.0,99.8,250.0,175.0,295.0,Advanced
1,17.5,102.7,300.0,182.5,300.5,Advanced
0,62.0,86.6,62.5,52.5,80.0,Beginner
0,17.0,94.2,62.5,30.0,95.0,Beginner
0,28.5,70.7,142.5,85.0,157.5,Intermediate
1,22.5,96.5,190.0,120.0,242.5,Intermediate
0,42.0,71.6,70.0,40.0,87.5,Beginner
1,18.5,70.7,142.5,90.0,192.5,Intermediate
1,35.0,131.7,237.5,175.0,300.0,Advanced
1,17.5,90.2,230.0,130.0,245.0,Intermediate
1,27.0,59.2,177.5,102.5,187.5,Advanced
1,24.5,82.6,235.0,187.5,295.0,Advanced
1,15.0,82.5,97.5,87.5,107.5,Beginner
0,61.5,75.7,55.0,35.0,92.5,Beginner
1,27.0,108.5,312.5,192.5,342.5,Elite
1,28.5,65.2,175.0,115.0,227.5,Advanced
0,28.5,79.7,107.5,60.0,142.5,Novice
1,31.0,138.8,165.0,120.0,232.5,Novice
1,65.5,61.7,75.0,45.0,110.0,Beginner
1,21.5,73.4,247.5,137.5,275.0,Advanced
1,14.0,78.2,150.0,82.5,182.5,Novice
0,46.0,52.7,110.0,80.0,142.5,Advanced
1,35.0,99.2,205.0,175.0,250.0,Intermediate
1,26.0,74.1,220.0,165.0,235.0,Advanced
1,37.0,106.8,230.0,185.0,272.5,Advanced
1,16.0,104.0,170.0,112.5,185.0,Novice
1,15.5,89.8,110.0,72.5,112.5,Beginner
0,20.5,75.2,62.5,32.5,87.5,Beginner
1,18.5,99.6,242.5,165.0,280.0,Advanced
0,62.0,57.6,52.5,32.5,77.5,Beginner
1,26.0,93.7,227.5,147.5,245.0,Intermediate
0,15.5,68.3,95.0,50.0,100.0,Novice
1,18.5,82.5,302.5,250.0,262.5,Elite
1,19.0,136.1,220.0,160.0,275.0,Intermediate
1,55.0,149.8,87.5,105.0,137.5,Beginner
1,15.5,72.7,85.0,60.0,122.5,Beginner
0,17.5,45.5,65.0,35.0,87.5,Novice
0,45.0,66.0,127.5,87.5,140.0,Intermediate
0,14.5,106.6,45.4,54.4,106.6,Beginner
0,36.0,92.9,70.0,52.5,82.5,Beginner
1,29.0,108.1,255.0,200.0,247.5,Advanced
1,51.5,82.7,257.5,130.0,270.0,Advanced
1,19.5,103.8,370.0,260.0,317.5,Elite
1,32.5,82.8,350.0,250.0,307.5,Elite
1,16.0,57.6,62.5,62.5,110.0,Novice
0,14.5,95.4,60.0,52.5,115.0,Beginner
0,24.5,100.2,240.0,205.0,202.5,Elite
1,49.0,89.8,337.5,232.5,272.5,Elite
0,40.5,59.7,83.9,52.2,163.3,Intermediate
1,35.0,99.0,310.0,218.0,337.5,Elite
0,18.0,97.5,105.0,62.5,117.5,Novice
1,31.5,67.0,245.0,185.0,285.0,Elite
0,64.0,88.6,43.1,38.6,93.0,Beginner
1,21.5,84.6,222.5,160.0,242.5,Advanced
1,31.5,63.1,265.0,200.0,267.5,Elite
1,52.0,65.6,102.5,80.0,132.5,Novice
1,77.0,81.0,92.5,65.0,135.0,Beginner
0,36.5,79.5,105.0,50.0,147.5,Novice
1,78.0,94.4,110.0,70.0,152.5,Novice
1,22.5,73.8,205.0,130.0,260.0,Advanced
0,20.5,42.0,20.4,18.1,34.0,Beginner
1,23.5,91.6,240.0,180.0,280.0,Advanced
0,43.5,78.8,77.5,40.0,60.0,Beginner
0,30.0,64.4,185.0,120.0,197.5,Elite
0,33.0,66.7,52.5,40.0,87.5,Beginner
0,24.0,54.6,87.5,47.5,107.5,Novice
0,37.5,56.5,222.5,100.0,195.0,Elite
1,20.5,71.2,142.5,100.0,167.5,Intermediate
0,16.5,51.7,135.0,62.5,135.0,Advanced
1,31.0,90.0,147.5,90.0,187.5,Novice
0,24.0,66.4,145.0,72.5,157.5,Intermediate
1,34.0,139.8,337.5,220.0,350.0,Elite
0,43.0,66.1,170.0,132.5,212.5,Elite
1,32.0,81.5,302.5,182.5,242.5,Advanced
0,25.0,59.6,205.0,115.0,190.0,Elite
1,17.5,109.2,165.0,105.0,205.0,Novice
1,22.0,65.7,242.5,165.0,270.0,Elite
1,19.5,91.5,275.0,160.0,265.0,Advanced
0,49.5,59.5,62.5,35.0,80.0,Beginner
1,17.0,75.0,102.1,83.9,142.9,Novice
1,13.0,58.6,80.0,40.0,87.5,Beginner
0,14.0,68.8,95.0,50.0,110.0,Novice
0,24.0,85.1,110.0,57.5,115.0,Novice
1,46.5,104.4,300.0,235.0,260.0,Advanced
1,37.0,108.6,312.5,235.0,320.0,Elite
1,16.5,79.0,65.0,57.5,90.0,Beginner
1,36.5,74.2,72.5,75.0,107.5,Beginner
1,28.5,67.2,280.0,177.5,275.0,Elite
1,22.5,77.1,197.5,132.5,260.0,Advanced
1,25.5,96.4,270.0,180.0,297.5,Advanced
0,41.5,57.9,75.0,52.5,102.5,Novice
0,65.0,70.5,52.5,32.5,77.5,Beginner
1,38.5,89.8,265.0,170.0,272.5,Advanced
0,14.5,50.7,65.0,42.5,85.0,Novice
1,28.0,87.4,182.5,137.5,245.0,Intermediate
1,20.0,70.1,85.0,75.0,95.0,Beginner
1,15.0,55.9,65.0,50.0,102.5,Beginner
1,34.0,88.3,237.5,155.0,267.5,Advanced
0,22.0,67.5,145.0,80.0,142.5,Intermediate
1,14.0,60.6,82.5,55.0,127.5,Novice
1,32.0,134.7,378.8,249.5,328.8,Elite
1,15.5,76.0,62.5,42.5,97.5,Beginner
0,26.5,69.9,110.0,55.0,112.5,Novice
1,64.5,68.4,75.0,67.5,115.0,Beginner
0,46.5,69.7,60.0,40.0,87.5,Beginner
1,45.0,140.0,390.0,320.5,282.5,Elite
1,20.0,99.9,227.5,157.5,255.0,Intermediate
1,24.0,88.6,235.0,185.0,272.5,Advanced
0,17.5,67.2,100.0,45.0,105.0,Novice
1,19.0,98.7,287.5,182.5,257.5,Advanced
1,35.5,92.8,327.5,260.0,305.0,Elite
1,17.5,88.8,137.5,95.0,185.0,Novice
